datetime,station,category,PM2.5,PM10,SO2,NO2,CO,O3,TEMP,PRES,DEWP,RAIN,wd,WSPM
2013-03-01 15:00:00,Changping,Outer (Suburban),3.0,34.0,6.0,7.0,300.0,94.0,6.0,1022.6,-20.4,0.0,N,3.2
2013-03-01 16:00:00,Changping,Outer (Suburban),3.0,28.0,5.0,9.0,300.0,92.0,5.4,1022.8,-20.0,0.0,NE,2.2
2013-03-01 17:00:00,Changping,Outer (Suburban),6.0,25.0,19.0,12.0,300.0,88.0,3.5,1023.4,-20.8,0.0,ENE,2.0
2013-03-01 18:00:00,Changping,Outer (Suburban),4.0,17.0,40.0,22.0,600.0,77.0,2.7,1024.2,-20.0,0.0,NE,3.6
2013-03-01 19:00:00,Changping,Outer (Suburban),7.0,19.0,37.0,22.0,600.0,75.0,2.0,1025.1,-19.3,0.0,ENE,1.7
2013-03-01 20:00:00,Changping,Outer (Suburban),8.0,21.0,23.0,14.0,300.0,80.0,1.1,1025.9,-18.3,0.0,NE,1.7
2013-03-01 21:00:00,Changping,Outer (Suburban),7.0,16.0,34.0,19.0,300.0,74.0,1.6,1026.7,-17.4,0.0,E,2.3
2013-03-01 22:00:00,Changping,Outer (Suburban),5.0,13.0,25.0,16.0,300.0,76.0,0.4,1027.2,-17.4,0.0,E,0.0
2013-03-01 23:00:00,Changping,Outer (Suburban),7.0,12.0,43.0,25.0,500.0,65.0,0.3,1027.0,-16.6,0.0,NE,1.5
2013-03-02 00:00:00,Changping,Outer (Suburban),11.0,13.0,23.0,16.0,400.0,69.0,-0.5,1027.4,-16.4,0.0,SW,3.0
2013-03-02 01:00:00,Changping,Outer (Suburban),12.0,10.0,24.0,18.0,400.0,67.0,-1.8,1027.9,-16.7,0.0,SSW,0.9
2013-03-02 02:00:00,Changping,Outer (Suburban),13.0,9.0,,56.0,800.0,33.0,-1.7,1027.7,-17.4,0.0,SSW,1.5
2013-03-02 03:00:00,Changping,Outer (Suburban),14.0,24.0,23.0,42.0,,,-2.5,1027.7,-17.4,0.0,SW,1.7
2013-03-02 04:00:00,Changping,Outer (Suburban),14.0,18.0,24.0,,400.0,45.0,-3.4,1027.5,-17.0,0.0,NW,0.8
2013-03-02 05:00:00,Changping,Outer (Suburban),13.0,13.0,37.0,57.0,600.0,28.0,-3.5,1026.9,-16.8,0.0,N,0.5
2013-03-02 06:00:00,Changping,Outer (Suburban),16.0,15.0,38.0,66.0,900.0,16.0,-3.5,1026.1,-15.8,0.0,NNE,0.9
2013-03-02 07:00:00,Changping,Outer (Suburban),19.0,25.0,39.0,63.0,900.0,18.0,-3.3,1026.7,-14.4,0.0,NNW,0.9
2013-03-02 08:00:00,Changping,Outer (Suburban),22.0,26.0,41.0,66.0,1100.0,14.0,-2.0,1026.4,-15.1,0.0,NNE,1.0
2013-03-02 09:00:00,Changping,Outer (Suburban),29.0,43.0,53.0,69.0,1600.0,13.0,-0.2,1026.3,-16.6,0.0,WSW,0.5
2013-03-02 10:00:00,Changping,Outer (Suburban),46.0,70.0,40.0,54.0,900.0,29.0,0.6,1025.8,-17.2,0.0,SW,1.3
2013-03-02 11:00:00,Changping,Outer (Suburban),30.0,33.0,40.0,61.0,800.0,28.0,1.3,1025.4,-17.1,0.0,ESE,1.1
2013-03-02 12:00:00,Changping,Outer (Suburban),31.0,41.0,42.0,51.0,700.0,38.0,1.9,1024.2,-17.1,0.0,WSW,1.6
2013-03-02 13:00:00,Changping,Outer (Suburban),30.0,34.0,42.0,50.0,700.0,42.0,2.3,1022.6,-17.3,0.0,SE,0.2
2013-03-02 14:00:00,Changping,Outer (Suburban),30.0,32.0,50.0,59.0,900.0,36.0,3.0,1021.9,-17.3,0.0,S,0.0
2013-03-02 15:00:00,Changping,Outer (Suburban),38.0,41.0,49.0,58.0,900.0,38.0,2.9,1020.9,-16.8,0.0,WSW,1.2
2013-03-02 16:00:00,Changping,Outer (Suburban),42.0,49.0,49.0,62.0,900.0,35.0,2.5,1020.6,-17.1,0.0,WNW,0.5
2013-03-02 17:00:00,Changping,Outer (Suburban),44.0,50.0,50.0,66.0,900.0,31.0,2.1,1020.2,-16.4,0.0,E,0.7
2013-03-02 18:00:00,Changping,Outer (Suburban),44.0,55.0,50.0,73.0,900.0,23.0,1.5,1020.4,-16.0,0.0,NE,0.7
2013-03-02 19:00:00,Changping,Outer (Suburban),47.0,60.0,34.0,76.0,1000.0,18.0,0.3,1020.0,-15.3,0.0,NE,0.6
2013-03-02 20:00:00,Changping,Outer (Suburban),52.0,65.0,43.0,84.0,1300.0,12.0,0.0,1019.9,-15.2,0.0,NE,0.2
2013-03-02 21:00:00,Changping,Outer (Suburban),69.0,76.0,51.0,82.0,1700.0,9.0,-1.2,1019.7,-13.7,0.0,N,1.0
2013-03-02 22:00:00,Changping,Outer (Suburban),72.0,83.0,49.0,82.0,1600.0,8.0,-2.1,1019.1,-13.3,0.0,NNE,0.4
2013-03-02 23:00:00,Changping,Outer (Suburban),62.0,71.0,68.0,87.0,2000.0,9.0,-2.2,1018.2,-13.4,0.0,NNE,1.1
2013-03-03 00:00:00,Changping,Outer (Suburban),73.0,87.0,41.0,76.0,1500.0,7.0,-2.4,1017.4,-13.0,0.0,N,1.0
2013-03-03 01:00:00,Changping,Outer (Suburban),50.0,60.0,36.0,73.0,1399.0,7.0,-3.8,1016.5,-12.2,0.0,NNW,1.4
2013-03-03 02:00:00,Changping,Outer (Suburban),60.0,62.0,37.0,75.0,1500.0,7.0,-3.8,1015.1,-12.7,0.0,NNE,0.8
2013-03-03 03:00:00,Changping,Outer (Suburban),60.0,63.0,41.0,74.0,1600.0,7.0,-4.0,1014.1,-13.4,0.0,NE,0.7
2013-03-03 04:00:00,Changping,Outer (Suburban),64.0,66.0,31.0,69.0,1200.0,6.0,-4.8,1013.6,-13.2,0.0,NNE,0.2
2013-03-03 05:00:00,Changping,Outer (Suburban),56.0,58.0,34.0,71.0,1300.0,6.0,-5.6,1013.2,-13.0,0.0,ENE,0.5
2013-03-03 06:00:00,Changping,Outer (Suburban),53.0,59.0,24.0,68.0,1399.0,6.0,-5.7,1013.2,-13.1,0.0,NE,0.0
2013-03-03 07:00:00,Changping,Outer (Suburban),52.0,62.0,25.0,68.0,1700.0,6.0,-3.3,1013.5,-12.8,0.0,NE,0.8
2013-03-03 08:00:00,Changping,Outer (Suburban),58.0,75.0,51.0,71.0,2399.0,12.0,-0.3,1012.8,-11.4,0.0,NNW,0.5
2013-03-03 09:00:00,Changping,Outer (Suburban),81.0,106.0,69.0,72.0,2000.0,15.0,3.4,1012.5,-12.6,0.0,SSE,0.8
2013-03-03 10:00:00,Changping,Outer (Suburban),84.0,101.0,78.0,84.0,2200.0,17.0,6.5,1011.4,-12.2,0.0,SE,2.1
2013-03-03 11:00:00,Changping,Outer (Suburban),106.0,148.0,91.0,93.0,1899.0,20.0,9.0,1010.4,-11.6,0.0,ESE,1.4
2013-03-03 12:00:00,Changping,Outer (Suburban),110.0,135.0,78.0,89.0,1800.0,24.0,12.2,1009.1,-13.7,0.0,SE,1.8
2013-03-03 13:00:00,Changping,Outer (Suburban),113.0,151.0,64.0,80.0,1500.0,30.0,15.6,1007.5,-13.8,0.0,NW,5.4
2013-03-03 14:00:00,Changping,Outer (Suburban),100.0,151.0,36.0,53.0,1000.0,52.0,16.6,1006.9,-14.1,0.0,NW,5.3
2013-03-03 15:00:00,Changping,Outer (Suburban),68.0,128.0,14.0,20.0,400.0,78.0,17.0,1006.8,-14.9,0.0,NW,2.3
2013-03-03 16:00:00,Changping,Outer (Suburban),32.0,90.0,10.0,16.0,400.0,82.0,16.1,1006.9,-14.4,0.0,ENE,0.7
2013-03-03 17:00:00,Changping,Outer (Suburban),21.0,71.0,27.0,21.0,400.0,76.0,13.9,1007.6,-14.1,0.0,SSE,0.6
2013-03-03 18:00:00,Changping,Outer (Suburban),16.0,33.0,17.0,22.0,400.0,72.0,12.4,1009.0,-14.4,0.0,E,0.8
2013-03-03 19:00:00,Changping,Outer (Suburban),18.0,43.0,12.0,35.0,600.0,59.0,8.9,1010.0,-13.5,0.0,NW,0.9
2013-03-03 20:00:00,Changping,Outer (Suburban),24.0,56.0,27.0,46.0,800.0,45.0,7.7,1010.1,-12.2,0.0,ENE,0.5
2013-03-03 21:00:00,Changping,Outer (Suburban),29.0,55.0,27.0,42.0,700.0,47.0,6.9,1010.6,-12.3,0.0,N,0.7
2013-03-03 22:00:00,Changping,Outer (Suburban),23.0,46.0,25.0,69.0,1300.0,19.0,6.8,1011.2,-11.9,0.0,NE,1.5
2013-03-03 23:00:00,Changping,Outer (Suburban),30.0,78.0,14.0,24.0,700.0,52.0,8.6,1012.1,-11.4,0.0,NE,2.0
2013-03-04 00:00:00,Changping,Outer (Suburban),25.0,42.0,30.0,22.0,400.0,57.0,9.2,1013.2,-12.6,0.0,ENE,2.4
2013-03-04 01:00:00,Changping,Outer (Suburban),16.0,38.0,24.0,13.0,300.0,72.0,7.3,1014.2,-12.5,0.0,NE,2.1
2013-03-04 02:00:00,Changping,Outer (Suburban),8.0,31.0,29.0,14.0,300.0,74.0,6.1,1014.4,-13.5,0.0,NW,1.4
2013-03-04 03:00:00,Changping,Outer (Suburban),6.0,20.0,4.0,10.0,400.0,76.0,6.6,1014.2,-14.8,0.0,N,4.0
2013-03-04 04:00:00,Changping,Outer (Suburban),7.0,13.0,3.0,10.0,300.0,80.0,4.8,1014.6,-12.2,0.0,NW,2.6
2013-03-04 05:00:00,Changping,Outer (Suburban),3.0,14.0,31.0,46.0,600.0,38.0,5.4,1015.4,-12.1,0.0,NW,4.7
2013-03-04 06:00:00,Changping,Outer (Suburban),10.0,24.0,43.0,43.0,500.0,39.0,4.2,1016.1,-12.3,0.0,N,3.0
2013-03-04 07:00:00,Changping,Outer (Suburban),12.0,28.0,38.0,38.0,700.0,42.0,6.3,1016.8,-12.3,0.0,N,0.8
2013-03-04 08:00:00,Changping,Outer (Suburban),12.0,32.0,29.0,34.0,700.0,48.0,8.9,1017.4,-12.9,0.0,ENE,1.6
2013-03-04 09:00:00,Changping,Outer (Suburban),16.0,29.0,21.0,19.0,500.0,65.0,10.2,1017.6,-13.8,0.0,NW,3.8
2013-03-04 10:00:00,Changping,Outer (Suburban),14.0,23.0,16.0,12.0,400.0,76.0,11.4,1017.1,-14.4,0.0,NNW,4.2
2013-03-04 11:00:00,Changping,Outer (Suburban),7.0,16.0,7.0,11.0,400.0,80.0,12.7,1016.6,-15.1,0.0,NNW,4.4
2013-03-04 12:00:00,Changping,Outer (Suburban),8.0,22.0,6.0,9.0,400.0,85.0,14.6,1015.4,-14.6,0.0,NNW,3.5
2013-03-04 13:00:00,Changping,Outer (Suburban),14.0,16.0,7.0,9.0,400.0,89.0,15.1,1014.2,-15.2,0.0,NNW,3.4
2013-03-04 14:00:00,Changping,Outer (Suburban),11.0,13.0,14.0,11.0,400.0,91.0,16.1,1013.1,-16.9,0.0,NW,3.0
2013-03-04 15:00:00,Changping,Outer (Suburban),21.0,24.0,11.0,10.0,400.0,95.0,16.1,1012.5,-16.9,0.0,NW,2.3
2013-03-04 16:00:00,Changping,Outer (Suburban),10.0,17.0,10.0,12.0,400.0,92.0,14.8,1012.0,-14.4,0.0,SSW,3.3
2013-03-04 17:00:00,Changping,Outer (Suburban),13.0,15.0,8.0,21.0,400.0,86.0,12.9,1012.4,-14.0,0.0,SSW,2.6
2013-03-04 18:00:00,Changping,Outer (Suburban),17.0,29.0,14.0,40.0,500.0,81.0,11.3,1012.7,-13.7,0.0,SSW,1.2
2013-03-04 19:00:00,Changping,Outer (Suburban),32.0,54.0,39.0,63.0,700.0,57.0,8.7,1013.2,-12.5,0.0,ENE,0.5
2013-03-04 20:00:00,Changping,Outer (Suburban),43.0,71.0,66.0,91.0,1100.0,25.0,5.9,1013.4,-11.7,0.0,ENE,0.2
2013-03-04 21:00:00,Changping,Outer (Suburban),64.0,99.0,41.0,88.0,1500.0,18.0,4.9,1013.4,-11.7,0.0,ESE,0.8
2013-03-04 22:00:00,Changping,Outer (Suburban),76.0,123.0,25.0,57.0,1100.0,34.0,4.0,1013.2,-11.6,0.0,E,0.6
2013-03-04 23:00:00,Changping,Outer (Suburban),54.0,75.0,21.0,43.0,1200.0,95.0,4.2,1012.6,-11.5,0.0,ESE,0.8
2013-03-05 00:00:00,Changping,Outer (Suburban),57.0,69.0,20.0,37.0,900.0,95.0,2.8,1012.1,-11.2,0.0,ENE,0.4
2013-03-05 01:00:00,Changping,Outer (Suburban),48.0,57.0,38.0,66.0,1600.0,95.0,1.8,1011.7,-11.0,0.0,NNE,0.6
2013-03-05 02:00:00,Changping,Outer (Suburban),65.0,99.0,32.0,54.0,1399.0,95.0,0.8,1011.4,-10.7,0.0,N,0.6
2013-03-05 03:00:00,Changping,Outer (Suburban),60.0,75.0,20.0,36.0,1100.0,95.0,0.2,1011.0,-10.4,0.0,N,0.2
2013-03-05 04:00:00,Changping,Outer (Suburban),46.0,54.0,40.0,75.0,2299.0,95.0,-0.1,1010.7,-10.1,0.0,N,0.8
2013-03-05 05:00:00,Changping,Outer (Suburban),72.0,113.0,33.0,61.0,1600.0,95.0,-0.4,1010.9,-9.6,0.0,NNE,0.0
2013-03-05 06:00:00,Changping,Outer (Suburban),56.0,78.0,31.0,53.0,1100.0,95.0,-1.0,1010.6,-9.4,0.0,NE,0.8
2013-03-05 07:00:00,Changping,Outer (Suburban),51.0,66.0,34.0,69.0,2000.0,95.0,1.2,1010.4,-9.4,0.0,NE,0.0
2013-03-05 08:00:00,Changping,Outer (Suburban),68.0,105.0,40.0,66.0,1600.0,95.0,6.0,1010.1,-10.7,0.0,SW,0.8
2013-03-05 09:00:00,Changping,Outer (Suburban),68.0,92.0,64.0,75.0,1899.0,95.0,7.8,1009.5,-10.6,0.0,SW,1.0
2013-03-05 10:00:00,Changping,Outer (Suburban),87.0,117.0,81.0,92.0,2000.0,95.0,9.3,1008.7,-9.3,0.0,ESE,1.4
2013-03-05 11:00:00,Changping,Outer (Suburban),107.0,160.0,66.0,80.0,1500.0,95.0,11.0,1007.8,-9.4,0.0,SW,1.9
2013-03-05 12:00:00,Changping,Outer (Suburban),109.0,139.0,52.0,65.0,1399.0,55.0,12.1,1006.5,-9.0,0.0,ENE,0.4
2013-03-05 13:00:00,Changping,Outer (Suburban),118.0,133.0,56.0,55.0,1300.0,95.0,13.2,1005.1,-8.1,0.0,SSW,0.9
2013-03-05 14:00:00,Changping,Outer (Suburban),126.0,127.0,57.0,60.0,1300.0,95.0,14.1,1004.3,-8.6,0.0,SE,1.7
2013-03-05 15:00:00,Changping,Outer (Suburban),124.0,129.0,62.0,76.0,1500.0,92.0,13.5,1004.1,-8.4,0.0,SE,0.8
2013-03-05 16:00:00,Changping,Outer (Suburban),149.0,153.0,59.0,81.0,1500.0,86.0,13.3,1003.9,-8.0,0.0,ESE,1.1
2013-03-05 17:00:00,Changping,Outer (Suburban),151.0,158.0,74.0,104.0,1600.0,81.0,12.4,1004.5,-8.2,0.0,ESE,1.0
2013-03-05 18:00:00,Changping,Outer (Suburban),158.0,168.0,64.0,106.0,1700.0,81.0,8.9,1005.0,-7.8,0.0,NE,0.8
2013-03-05 19:00:00,Changping,Outer (Suburban),161.0,172.0,69.0,123.0,1899.0,81.0,7.7,1005.4,-7.6,0.0,NNE,0.2
2013-03-05 20:00:00,Changping,Outer (Suburban),173.0,187.0,68.0,127.0,2299.0,81.0,6.3,1005.9,-7.3,0.0,NNE,0.7
2013-03-05 21:00:00,Changping,Outer (Suburban),191.0,210.0,55.0,94.0,2100.0,81.0,5.6,1006.0,-7.3,0.0,NNE,0.2
2013-03-05 22:00:00,Changping,Outer (Suburban),181.0,183.0,52.0,78.0,1899.0,81.0,4.9,1005.8,-7.0,0.0,N,1.7
2013-03-05 23:00:00,Changping,Outer (Suburban),141.0,160.0,50.0,74.0,1899.0,81.0,3.7,1005.7,-6.9,0.0,NE,0.4
2013-03-06 00:00:00,Changping,Outer (Suburban),152.0,154.0,65.0,115.0,2700.0,81.0,3.9,1005.4,-6.7,0.0,N,2.0
2013-03-06 01:00:00,Changping,Outer (Suburban),180.0,195.0,52.0,72.0,2000.0,81.0,3.9,1005.3,-6.4,0.0,NE,0.8
2013-03-06 02:00:00,Changping,Outer (Suburban),146.0,153.0,,100.0,2399.0,81.0,3.5,1004.8,-6.5,0.0,N,0.7
2013-03-06 03:00:00,Changping,Outer (Suburban),170.0,179.0,55.0,74.0,,81.0,3.7,1004.7,-6.3,0.0,N,1.3
2013-03-06 04:00:00,Changping,Outer (Suburban),149.0,155.0,59.0,,2500.0,81.0,2.4,1004.7,-6.2,0.0,N,1.0
2013-03-06 05:00:00,Changping,Outer (Suburban),182.0,202.0,79.0,101.0,2500.0,81.0,2.1,1004.9,-5.8,0.0,N,0.9
2013-03-06 06:00:00,Changping,Outer (Suburban),182.0,187.0,86.0,94.0,2399.0,81.0,3.1,1005.1,-5.6,0.0,N,0.2
2013-03-06 07:00:00,Changping,Outer (Suburban),187.0,190.0,82.0,93.0,2700.0,81.0,4.7,1006.2,-4.9,0.0,ESE,0.6
2013-03-06 08:00:00,Changping,Outer (Suburban),195.0,200.0,86.0,85.0,2299.0,81.0,5.5,1006.2,-4.1,0.0,SW,0.5
2013-03-06 09:00:00,Changping,Outer (Suburban),193.0,200.0,81.0,86.0,2799.0,81.0,7.2,1006.1,-5.5,0.0,W,0.5
2013-03-06 10:00:00,Changping,Outer (Suburban),200.0,219.0,109.0,114.0,3600.0,81.0,8.8,1005.8,-5.5,0.0,NNW,0.7
2013-03-06 11:00:00,Changping,Outer (Suburban),239.0,280.0,123.0,126.0,3700.0,81.0,10.6,1004.6,-5.0,0.0,N,0.9
2013-03-06 12:00:00,Changping,Outer (Suburban),271.0,324.0,142.0,142.0,3799.0,81.0,12.4,1003.4,-4.7,0.0,NW,0.8
2013-03-06 13:00:00,Changping,Outer (Suburban),281.0,315.0,118.0,135.0,3399.0,81.0,13.4,1002.5,-4.3,0.0,SE,1.2
2013-03-06 14:00:00,Changping,Outer (Suburban),263.0,284.0,121.0,152.0,3600.0,81.0,13.6,1001.8,-4.1,0.0,S,2.3
2013-03-06 15:00:00,Changping,Outer (Suburban),293.0,347.0,118.0,160.0,3299.0,81.0,13.6,1001.9,-3.7,0.0,ESE,2.2
2013-03-06 16:00:00,Changping,Outer (Suburban),302.0,352.0,112.0,158.0,3100.0,66.0,13.3,1002.2,-3.9,0.0,ESE,1.6
2013-03-06 17:00:00,Changping,Outer (Suburban),312.0,342.0,107.0,141.0,2700.0,60.0,12.0,1002.7,-3.8,0.0,SE,1.3
2013-03-06 18:00:00,Changping,Outer (Suburban),280.0,300.0,110.0,135.0,2600.0,39.0,10.6,1003.7,-3.9,0.0,SSW,1.2
2013-03-06 19:00:00,Changping,Outer (Suburban),265.0,281.0,104.0,137.0,2700.0,37.0,7.1,1004.5,-3.5,0.0,NNW,1.4
2013-03-06 20:00:00,Changping,Outer (Suburban),268.0,285.0,107.0,136.0,3299.0,37.0,6.2,1004.9,-3.5,0.0,SE,0.7
2013-03-06 21:00:00,Changping,Outer (Suburban),272.0,281.0,136.0,156.0,4799.0,37.0,5.5,1004.5,-3.6,0.0,ENE,0.6
2013-03-06 22:00:00,Changping,Outer (Suburban),339.0,394.0,118.0,148.0,5500.0,35.0,4.7,1004.3,-3.6,0.0,E,0.7
2013-03-06 23:00:00,Changping,Outer (Suburban),326.0,360.0,113.0,140.0,4500.0,30.0,4.5,1004.1,-3.3,0.0,S,0.9
2013-03-07 00:00:00,Changping,Outer (Suburban),282.0,287.0,98.0,131.0,3899.0,30.0,5.3,1004.2,-3.3,0.0,ENE,0.7
2013-03-07 01:00:00,Changping,Outer (Suburban),206.0,249.0,77.0,117.0,3399.0,22.0,6.2,1004.2,-3.2,0.0,E,1.4
2013-03-07 02:00:00,Changping,Outer (Suburban),227.0,228.0,80.0,111.0,3000.0,22.0,3.0,1003.8,-3.8,0.0,SW,0.5
2013-03-07 03:00:00,Changping,Outer (Suburban),208.0,211.0,72.0,105.0,2899.0,22.0,1.4,1003.6,-4.3,0.0,SW,1.0
2013-03-07 04:00:00,Changping,Outer (Suburban),198.0,200.0,73.0,110.0,3700.0,22.0,1.3,1003.5,-5.0,0.0,WNW,1.8
2013-03-07 05:00:00,Changping,Outer (Suburban),201.0,215.0,67.0,108.0,4700.0,22.0,1.0,1003.7,-5.3,0.0,NNE,1.5
2013-03-07 06:00:00,Changping,Outer (Suburban),202.0,234.0,72.0,102.0,4400.0,22.0,0.2,1003.6,-5.4,0.0,NNE,1.0
2013-03-07 07:00:00,Changping,Outer (Suburban),175.0,206.0,65.0,95.0,4400.0,22.0,4.9,1003.6,-4.4,0.0,N,0.1
2013-03-07 08:00:00,Changping,Outer (Suburban),143.0,180.0,114.0,96.0,5099.0,22.0,7.0,1003.4,-3.6,0.0,SSW,1.4
2013-03-07 09:00:00,Changping,Outer (Suburban),140.0,200.0,92.0,114.0,4599.0,22.0,8.9,1003.2,-3.7,0.0,SSE,1.0
2013-03-07 10:00:00,Changping,Outer (Suburban),169.0,240.0,138.0,150.0,4200.0,22.0,12.5,1002.1,-5.5,0.0,SE,1.1
2013-03-07 11:00:00,Changping,Outer (Suburban),225.0,309.0,100.0,111.0,2299.0,22.0,15.0,1000.3,-4.9,0.0,SE,0.8
2013-03-07 12:00:00,Changping,Outer (Suburban),174.0,183.0,58.0,62.0,1300.0,41.0,16.3,998.4,-4.3,0.0,ESE,1.5
2013-03-07 13:00:00,Changping,Outer (Suburban),71.0,82.0,46.0,53.0,1100.0,65.0,17.3,996.7,-4.1,0.0,SSW,1.4
2013-03-07 14:00:00,Changping,Outer (Suburban),83.0,88.0,53.0,98.0,1600.0,65.0,16.6,995.5,-3.5,0.0,ESE,1.2
2013-03-07 15:00:00,Changping,Outer (Suburban),137.0,133.0,73.0,177.0,2500.0,65.0,16.8,994.7,-3.4,0.0,ENE,1.0
2013-03-07 16:00:00,Changping,Outer (Suburban),207.0,230.0,81.0,186.0,2899.0,65.0,16.6,994.1,-3.5,0.0,ENE,0.8
2013-03-07 17:00:00,Changping,Outer (Suburban),258.0,285.0,80.0,163.0,2799.0,65.0,14.5,993.9,-3.3,0.0,NE,0.7
2013-03-07 18:00:00,Changping,Outer (Suburban),264.0,298.0,77.0,141.0,2500.0,65.0,12.5,994.5,-3.4,0.0,N,0.5
2013-03-07 19:00:00,Changping,Outer (Suburban),241.0,247.0,105.0,191.0,3200.0,21.0,11.8,994.7,-3.2,0.0,ENE,0.8
2013-03-07 20:00:00,Changping,Outer (Suburban),256.0,286.0,98.0,199.0,3399.0,65.0,9.8,994.6,-2.8,0.0,NNW,0.6
2013-03-07 21:00:00,Changping,Outer (Suburban),262.0,282.0,96.0,171.0,3000.0,65.0,7.9,995.1,-3.0,0.0,NNE,1.2
2013-03-07 22:00:00,Changping,Outer (Suburban),238.0,241.0,82.0,166.0,3799.0,65.0,8.1,995.1,-3.4,0.0,ENE,0.9
2013-03-07 23:00:00,Changping,Outer (Suburban),249.0,261.0,70.0,145.0,3500.0,65.0,6.8,995.0,-3.2,0.0,NE,1.3
2013-03-08 00:00:00,Changping,Outer (Suburban),224.0,238.0,60.0,132.0,3200.0,65.0,5.9,995.3,-3.0,0.0,NE,0.0
2013-03-08 01:00:00,Changping,Outer (Suburban),216.0,227.0,68.0,140.0,5299.0,65.0,4.4,995.6,-3.2,0.0,E,0.8
2013-03-08 02:00:00,Changping,Outer (Suburban),263.0,292.0,71.0,141.0,6299.0,65.0,4.0,995.2,-3.5,0.0,ENE,0.6
2013-03-08 03:00:00,Changping,Outer (Suburban),290.0,328.0,68.0,131.0,5000.0,65.0,4.5,994.7,-3.1,0.0,SE,1.4
2013-03-08 04:00:00,Changping,Outer (Suburban),257.0,273.0,63.0,125.0,4700.0,65.0,16.7,994.9,-5.8,0.0,NW,5.2
2013-03-08 05:00:00,Changping,Outer (Suburban),233.0,235.0,57.0,105.0,3299.0,65.0,15.4,995.6,-6.2,0.0,SE,0.7
2013-03-08 06:00:00,Changping,Outer (Suburban),193.0,211.0,30.0,36.0,700.0,65.0,12.7,996.2,-5.4,0.0,ESE,1.7
2013-03-08 07:00:00,Changping,Outer (Suburban),72.0,135.0,44.0,85.0,1500.0,65.0,14.9,996.7,-5.5,0.0,NE,1.3
2013-03-08 08:00:00,Changping,Outer (Suburban),79.0,159.0,46.0,84.0,1700.0,65.0,11.2,997.8,-4.1,0.0,ESE,1.7
2013-03-08 09:00:00,Changping,Outer (Suburban),85.0,182.0,66.0,87.0,2399.0,65.0,14.5,997.9,-2.9,0.0,SSW,1.7
2013-03-08 10:00:00,Changping,Outer (Suburban),180.0,257.0,59.4048,94.0274,,65.0,17.3,997.3,-3.5,0.0,SE,1.4
2013-03-08 11:00:00,Changping,Outer (Suburban),207.0,264.0,63.0,96.0,2200.0,65.0,19.3,996.7,-3.6,0.0,ESE,2.1
2013-03-08 12:00:00,Changping,Outer (Suburban),179.0,222.0,43.0,76.0,1700.0,67.0,20.6,995.8,-3.9,0.0,ESE,2.5
2013-03-08 13:00:00,Changping,Outer (Suburban),153.0,202.0,37.0,75.0,1500.0,77.0,21.9,994.7,-4.3,0.0,SE,3.0
2013-03-08 14:00:00,Changping,Outer (Suburban),159.0,244.0,40.0,88.0,1600.0,86.0,17.6,995.0,1.5,0.0,ESE,4.5
